 VCS Coverage Metrics Release U-2023.03_Full64 Copyright (c) 1991-2023 by Synopsys Inc.
[PASS] seq=crv_seq_0                      cyc=111 op=BK_JAL             pc=0x31571e1c branch=0 jal=1 -> taken=0 valid=1 tgt=0x2015dd8a
[PASS] seq=crv_seq_0                      cyc=112 op=BK_RANDOM          pc=0x577b71e8 branch=0 jal=0 -> taken=0 valid=0 tgt=0xd388bf26
[PASS] seq=crv_seq_0                      cyc=113 op=BK_RANDOM          pc=0x488e8dac branch=0 jal=0 -> taken=0 valid=0 tgt=0xfaf0b2e6
[PASS] seq=crv_seq_0                      cyc=114 op=BK_JAL             pc=0x030bc150 branch=0 jal=1 -> taken=0 valid=1 tgt=0x6df5a220
[PASS] seq=crv_seq_0                      cyc=115 op=BK_IDLE            pc=0x0cdfdfa4 branch=0 jal=0 -> taken=0 valid=0 tgt=0x4e1db478
[PASS] seq=crv_seq_0                      cyc=116 op=BK_BACKWARD_BRANCH pc=0x52847b0c branch=1 jal=0 -> taken=1 valid=1 tgt=0x252d0932
[PASS] seq=crv_seq_0                      cyc=117 op=BK_JAL_AND_BRANCH  pc=0xee85d0fc branch=1 jal=1 -> taken=0 valid=1 tgt=0x62d01ae4
[PASS] seq=crv_seq_0                      cyc=118 op=BK_IDLE            pc=0xb1699bf4 branch=0 jal=0 -> taken=0 valid=0 tgt=0xdd2147be
[PASS] seq=crv_seq_0                      cyc=119 op=BK_FORWARD_BRANCH  pc=0x59c389cc branch=1 jal=0 -> taken=0 valid=0 tgt=0xa66d69f4
[PASS] seq=crv_seq_0                      cyc=120 op=BK_RANDOM          pc=0x712340d0 branch=0 jal=0 -> taken=0 valid=0 tgt=0xed83d3c8
[PASS] seq=crv_seq_0                      cyc=121 op=BK_BACKWARD_BRANCH pc=0xd79ee7e0 branch=1 jal=0 -> taken=1 valid=1 tgt=0xbf49f2b2
[PASS] seq=crv_seq_0                      cyc=122 op=BK_BACKWARD_BRANCH pc=0xa2f73afc branch=1 jal=0 -> taken=1 valid=1 tgt=0x43b2ddf0
[PASS] seq=crv_seq_0                      cyc=123 op=BK_BACKWARD_BRANCH pc=0x041e1900 branch=1 jal=0 -> taken=1 valid=1 tgt=0xd4c1b29a
[PASS] seq=crv_seq_0                      cyc=124 op=BK_RANDOM          pc=0xe25752dc branch=1 jal=1 -> taken=0 valid=1 tgt=0x6e0dae64
[PASS] seq=crv_seq_0                      cyc=125 op=BK_IDLE            pc=0xa79771cc branch=0 jal=0 -> taken=0 valid=0 tgt=0x1353fb4e
[PASS] seq=crv_seq_0                      cyc=126 op=BK_BACKWARD_BRANCH pc=0xc90f75d4 branch=1 jal=0 -> taken=1 valid=1 tgt=0x8d8e4570
[PASS] seq=crv_seq_0                      cyc=127 op=BK_WRAPAROUND      pc=0x21f03b5c branch=0 jal=0 -> taken=0 valid=0 tgt=0xb75538ee
[PASS] seq=crv_seq_0                      cyc=128 op=BK_BACKWARD_BRANCH pc=0x74e9cd08 branch=1 jal=0 -> taken=1 valid=1 tgt=0x4b8ba074
[PASS] seq=crv_seq_0                      cyc=129 op=BK_JAL_AND_BRANCH  pc=0xe661d5f4 branch=1 jal=1 -> taken=1 valid=1 tgt=0x3ba9f9c8
[PASS] seq=crv_seq_0                      cyc=130 op=BK_BACKWARD_BRANCH pc=0x2a040a44 branch=1 jal=0 -> taken=1 valid=1 tgt=0xebc44358
[PASS] seq=crv_seq_0                      cyc=131 op=BK_BACKWARD_BRANCH pc=0x0c873958 branch=1 jal=0 -> taken=1 valid=1 tgt=0x9b1e1b2a
[PASS] seq=crv_seq_0                      cyc=132 op=BK_RANDOM          pc=0xcbcdcfbc branch=0 jal=1 -> taken=0 valid=1 tgt=0xc4a10476
[PASS] seq=crv_seq_0                      cyc=133 op=BK_IDLE            pc=0x1c271718 branch=0 jal=0 -> taken=0 valid=0 tgt=0x2a190bc8
[PASS] seq=crv_seq_0                      cyc=134 op=BK_RANDOM          pc=0xc09567bc branch=1 jal=0 -> taken=0 valid=0 tgt=0xe2d9d120
